Location,Fractional Days
"Fort Lewis, United States",0.0
"Gizzeria, Italy",0.0
"Castellina in Chianti, Italy",0.0
"Torchiarolo, Italy",0.0
"Millican, United States",0.0
"Bracciano, Italy",0.0
"Magliano Sabina, Italy",0.0
"Orvieto, Italy",0.0
"Provodina, Montenegro",0.0
"Moxee City, United States",0.0
"Attigliano, Italy",0.0
"Bomarzo, Italy",0.0
"Federal Way, United States",0.0
"Općina Milna, Croatia",0.0
"Graffignano, Italy",0.0
"Villa San Giovanni, Italy",0.0
"Capranica, Italy",0.0
"Villapiana Lido, Italy",0.0
"Pierce County, United States",0.0
"Caldwell, United States",0.0
"Halepalaoa Landing, United States",0.0
"Fife, United States",0.0
"Donja Banda, Croatia",0.0
"Campofelice di Roccella, Italy",0.0
"Zelenika, Montenegro",0.0
"Haiku, United States",0.0
"Viterbo, Italy",0.0
"Capua, Italy",0.0
"Furci Siculo, Italy",0.0
"Colonia del Sol, Mexico",0.0
"Altilia, Italy",0.0
"Lake County, United States",0.0
"Gem County, United States",0.0
"Ciconia, Italy",0.0
"Caivano, Italy",0.0
"Washington County, United States",0.0
"Freeland, United States",0.0
"Massafra, Italy",0.0
"Hood River County, United States",0.0
"Vicari, Italy",0.0
"Città del Vaticano, Vatican City",0.0
"Ceprano, Italy",0.0
"San Giovanni Gemini, Italy",0.0
"San Cipirello, Italy",0.0
"Lamezia Terme, Italy",0.0
"Ponticelli, Italy",0.0
"Bettolle, Italy",0.0
"Cerda, Italy",0.0
"Ginosa, Italy",0.0
"Rapolano Terme, Italy",0.0
"Lepetane, Montenegro",0.0
"Tacoma, United States",0.0
"Lower Paia, United States",0.0
"Canicattì, Italy",0.0
"Cetona, Italy",0.0
"Capena, Italy",0.0
"Cassino, Italy",0.0
"Casteltermini, Italy",0.0
"Villarosa, Italy",0.0
"Curinga, Italy",0.0
"Colle Di Val D'Elsa, Italy",0.0
"Nazzano, Italy",0.0
"Patti, Italy",0.0
"Bothell, United States",0.0
"Nampa, United States",0.0
"Monteriggioni, Italy",0.0
"Scillato, Italy",0.0
"Rende, Italy",0.0
"Allerona, Italy",0.0
"Savoca, Italy",0.0
"Giove, Italy",0.0
"Roseto Capo Spulico, Italy",0.0
"Caltavuturo, Italy",0.0
"Ada County, United States",0.0
"Olowalu, United States",0.0
"Castelnuovo Di Porto, Italy",0.0
"Policoro, Italy",0.0
"Misilmeri, Italy",0.0
"Meridian, United States",0.0
"Buchanan, United States",0.0
"Juntura, United States",0.0
"Scadicci, Italy",0.0
"Grad Kaštela, Croatia",0.0
"Scandicci, Italy",0.0
"Villafrati, Italy",0.0
"Općina Vela Luka, Croatia",0.0
"Pločice, Croatia",0.0
"Santa Teresa di Riva, Italy",0.0
"Santa Domenica, Italy",0.0
"Vibo Valentia, Italy",0.0
"Cisternino, Italy",0.0
"Nocera Terinese, Italy",0.0
"Resuttano, Italy",0.0
"Gricignano di Aversa, Italy",0.0
"Ficarazzi, Italy",0.0
"Haliimaile, United States",0.0
"Lacey, United States",0.0
"Serra di Ulivo, Italy",0.0
"Bijela, Montenegro",0.0
"Burien, United States",0.0
"Kaupakalua, United States",0.0
"Castelnuovo Berardenga, Italy",0.0
"El Tezal, Mexico",0.0
"Los Cabos Municipality, Mexico",0.0
"Letojanni, Italy",0.0
"Des Moines, United States",0.0
"Herceg Novi, Montenegro",0.0
"Fruitland, United States",0.0
"Camas County, United States",0.0
"Parghelia, Italy",0.0
"Cairo, United States",0.0
"Briatico, Italy",0.0
"Sperone, Italy",0.0
"Tavarnelle, Italy",0.0
"Cerveteri, Italy",0.0
"Covington, United States",0.0
"Greve In Chianti, Italy",0.0
"Villabate, Italy",0.0
"Villapiana, Italy",0.0
"Tivat, Montenegro",0.0
"Sant'Albino, Italy",0.0
"Fabro, Italy",0.0
"Tumalo, United States",0.0
"San Casciano in Val di Pesa, Italy",0.0
"Sambuca, Italy",0.0
"Slatine, Croatia",0.0
"San Pietro Vernotico, Italy",0.0
"San José Viejo, Mexico",0.0
"Campi Salentina, Italy",0.0
"Scaletta Superiore, Italy",0.0
"Haʻikū, United States",0.0
"Kent, United States",0.0
"Luzzi, Italy",0.0
"Waikapu, United States",0.0
"Impruneta, Italy",0.0
"Nizza di Sicilia, Italy",0.0
"Sant'Alessio Siculo, Italy",0.0
"Cefalà Diana, Italy",0.0
"Aragona, Italy",0.0
"Orte, Italy",0.0
"Yakima, United States",0.0
"Hansville, United States",0.0
"Chianciano Terme, Italy",0.0
"Trabia, Italy",0.0
"Kalaoa, United States",0.0
"Fiumefreddo di Sicilia, Italy",0.0
"Giarre, Italy",0.0
"Falerna Scalo, Italy",0.0
"Shoshone, United States",0.0
"Gizzeria Lido, Italy",0.0
"Cellino San Marco, Italy",0.0
"Mrčevac, Montenegro",0.0
"Torrita, Italy",0.0
"Bainbridge Island, United States",0.0
"Giardini-Naxos, Italy",0.0
"Castiglione In Teverina, Italy",0.0
"Baschi, Italy",0.0
"Martirano, Italy",0.0
"Trebisacce, Italy",0.0
"San Tammaro, Italy",0.0
