Date,From,To,Mode,Distance (mi)
2025-07-04 06:54,"Ricadi, Italy","Bagnara Calabra, Italy",Car,25.41
2025-07-04 07:00,"Bagnara Calabra, Italy","San Nicolò, Italy",Car,25.66
2025-07-04 08:07,"Gioia Tauro, Italy","Bagnara Calabra, Italy",Car,14.01
2025-07-04 09:20,"Messina, Italy","Furci Siculo, Italy",Car,19.55
2025-07-04 09:34,"Furci Siculo, Italy","Messina, Italy",Car,13.61
2025-07-07 09:33,"Taormina, Italy","Scillato, Italy",Car,77.64
2025-07-07 11:40,"Scillato, Italy","Polizzi Generosa, Italy",Car,11.16
2025-07-07 12:01,"Polizzi Generosa, Italy","Cerda, Italy",Car,15.58
2025-07-08 07:42,"Santa Flavia, Italy","Campofelice Di Roccella, Italy",Car,19.32
2025-07-08 08:06,"Campofelice Di Roccella, Italy","Altavilla Milicia, Italy",Car,16.44
2025-07-08 08:16,"Altavilla Milicia, Italy","Termini Imerese, Italy",Car,10.17
2025-07-08 14:14,"Cefalù, Italy","Casteldaccia, Italy",Car,25.32
2025-07-08 14:24,"Casteldaccia, Italy","Campofelice di Roccella, Italy",Car,19.56
2025-07-08 14:44,"Termini Imerese, Italy","Sperone, Italy",Car,10.97
2025-07-10 08:09,"Santa Flavia, Italy","Bolognetta, Italy",Car,10.32
2025-07-10 09:05,"Cefalà Diana, Italy","Aragona, Italy",Car,37.31
2025-07-10 09:28,"Aragona, Italy","Vicari, Italy",Car,28.24
2025-07-10 09:50,"Vicari, Italy","San Giovanni Gemini, Italy",Car,12.16
2025-07-10 10:09,"San Giovanni Gemini, Italy","Casteltermini, Italy",Car,10.99
2025-07-10 10:25,"Casteltermini, Italy","Agrigento, Italy",Car,11.66
2025-07-10 13:50,"Agrigento, Italy","Altavilla Milicia, Italy",Car,50.52
2025-07-10 14:10,"Altavilla Milicia, Italy","Canicattì, Italy",Car,45.53
2025-07-10 14:29,"Canicattì, Italy","Villarosa, Italy",Car,19.11
2025-07-10 14:43,"Villarosa, Italy","Resuttano, Italy",Car,13.11
2025-07-10 15:00,"Resuttano, Italy","Caltavuturo, Italy",Car,13.47
2025-07-13 11:03,"Palermo, Italy","Gioiosa Marea, Italy",Car,82.74
2025-07-13 14:12,"Patti, Italy","Taormina, Italy",Car,25.61
2025-07-13 22:57,"Giarre, Italy","Messina, Italy",Car,37.14
2025-07-14 07:38,"Messina, Italy","Capo d'Orlando, Italy",Car,44.42
2025-07-14 09:20,"Capo d'Orlando, Italy","Messina, Italy",Car,44.53
2025-07-14 10:10,"Villa San Giovanni, Italy","Curinga, Italy",Car,55.6
2025-07-14 12:11,"Curinga, Italy","Gioia Tauro, Italy",Car,35.54
2025-07-14 12:47,"Gioia Tauro, Italy","Francavilla Angitola, Italy",Car,31.47
2025-07-14 14:51,"Nocera Scalo, Italy","Maratea, Italy",Car,70.86
2025-07-14 20:56,"Maratea, Italy","Cirella, Italy",Car,19.54
2025-07-15 08:10,"Diamante, Italy","Aprilia, Italy",Flight,214.68
2025-07-15 08:36,"Aprilia, Italy","Rome, Italy",Car,12.06
2025-07-16 22:49,"Fiumicino, Italy","SeaTac, United States",Flight,5673.24
2025-07-21 16:01,"Seattle, United States","Hailey, United States",Flight,471.65
2025-07-21 17:04,"Hailey, United States","Fairfield, United States",Car,24.57
2025-07-21 17:08,"Fairfield, United States","Shoshone, United States",Car,21.13
2025-07-21 17:33,"Shoshone, United States","Hailey, United States",Car,18.4
2025-07-23 21:12,"Hailey, United States","Mercer Island, United States",Flight,477.44
2025-08-07 17:16,"Seattle, United States","Hood River County, United States",Flight,154.51
2025-08-07 17:33,"Hood River County, United States","Deschutes County, United States",Car,85.43
2025-08-08 18:39,"Bend, United States","Sisters, United States",Car,12.35
2025-08-08 18:46,"Sisters, United States","Deschutes County, United States",Car,13.43
2025-08-09 00:03,"Sisters, United States","Bend, United States",Car,19.53
2025-08-09 00:14,"Bend, United States","Sisters, United States",Car,13.49
2025-08-09 14:55,"Bend, United States","Hines, United States",Flight,108.95
2025-08-09 15:00,"Hines, United States","Bend, United States",Flight,108.47
2025-08-09 15:33,"Bend, United States","Millican, United States",Car,26.86
2025-08-09 16:02,"Millican, United States","Hampton, United States",Car,34.26
2025-08-09 16:31,"Hampton, United States","Harney County, United States",Car,30.74
2025-08-09 16:57,"Harney County, United States","Hines, United States",Car,26.53
2025-08-09 17:46,"Hines, United States","Ontario, United States",Flight,105.64
2025-08-09 18:01,"Ontario, United States","Burns, United States",Car,94.56
2025-08-09 18:17,"Burns, United States","Harney County, United States",Car,14.41
2025-08-09 18:47,"Harney County, United States","Malheur County, United States",Car,13.37
2025-08-09 19:45,"Malheur County, United States","Ontario, United States",Car,15.79
2025-08-09 20:24,"Ontario, United States","Elmore County, United States",Car,75.07
2025-08-09 20:31,"Elmore County, United States","Fruitland, United States",Car,69.46
2025-08-09 20:44,"Fruitland, United States","Caldwell, United States",Car,16.81
2025-08-09 21:00,"Caldwell, United States","Meridian, United States",Car,16.31
2025-08-09 21:17,"Meridian, United States","Ada County, United States",Car,18.01
2025-08-09 21:31,"Ada County, United States","Mountain Home, United States",Car,18.62
2025-08-09 22:24,"Mountain Home, United States","Hailey, United States",Car,76.19
2025-08-09 22:33,"Hailey, United States","Mountain Home, United States",Car,70.36
2025-08-09 23:15,"Elmore County, United States","Fairfield, United States",Car,17.22
2025-08-09 23:34,"Fairfield, United States","Blaine County, United States",Car,21.64
2025-08-09 23:54,"Blaine County, United States","Bellevue, United States",Car,13.83
2025-08-10 00:26,"Bellevue, United States","Ketchum, United States",Car,16.57
2025-08-11 20:44,"Ketchum, United States","Bellevue, United States",Car,15.34
2025-08-11 20:49,"Bellevue, United States","Ketchum, United States",Car,14.09
2025-08-11 21:39,"Bellevue, United States","Ketchum, United States",Car,14.69
2025-08-11 21:46,"Ketchum, United States","Bellevue, United States",Car,11.65
2025-08-13 15:26,"Hailey, United States","Fairfield, United States",Car,17.51
2025-08-13 15:50,"Fairfield, United States","Gem County, United States",Flight,106.63
2025-08-13 16:21,"Gem County, United States","Moxee City, United States",Flight,252.01
2025-08-13 16:26,"Moxee City, United States","Yakima County, United States",Car,39.72
2025-08-13 16:52,"Yakima County, United States","Seattle, United States",Car,75.32
2025-08-17 16:46,"Seattle, United States","Federal Way, United States",Car,17.57
2025-08-17 18:48,"Fife, United States","Des Moines, United States",Car,11.05
2025-08-20 16:18,"Seattle, United States","Graham, United States",Car,36.45
2025-08-20 19:43,"Graham, United States","Bend, United States",Flight,210.86
2025-08-21 17:52,"Bend, United States","Hines, United States",Flight,108.46
2025-08-21 18:16,"Hines, United States","Bend, United States",Flight,105.8
2025-08-21 18:30,"Bend, United States","Deschutes County, United States",Car,12.47
2025-08-21 19:00,"Deschutes County, United States","Hampton, United States",Car,14.77
2025-08-21 19:24,"Hampton, United States","Lake County, United States",Car,24.06
2025-08-21 19:50,"Lake County, United States","Harney County, United States",Car,19.39
2025-08-21 20:59,"Harney County, United States","Burns, United States",Car,17.56
2025-08-21 21:16,"Burns, United States","Buchanan, United States",Car,15.14
2025-08-21 21:36,"Buchanan, United States","Harney County, United States",Car,16.97
2025-08-21 21:52,"Harney County, United States","Juntura, United States",Car,12.55
2025-08-21 22:02,"Juntura, United States","Cairo, United States",Car,57.71
2025-08-21 23:00,"Cairo, United States","Vale, United States",Car,13.37
2025-08-21 23:23,"Vale, United States","Ontario, United States",Car,15.77
2025-08-21 23:47,"Fruitland, United States","Boise, United States",Car,41.58
2025-08-22 00:02,"Boise, United States","Caldwell, United States",Car,27.49
2025-08-22 00:20,"Caldwell, United States","Nampa, United States",Car,17.61
2025-08-22 00:47,"Nampa, United States","Boise, United States",Car,16.41
2025-08-22 15:52,"Garden City, United States","Elmore County, United States",Car,34.91
2025-08-22 16:08,"Elmore County, United States","Boise, United States",Car,26.72
2025-08-22 16:33,"Boise, United States","Elmore County, United States",Car,11.8
2025-08-22 16:53,"Elmore County, United States","Ketchum, United States",Car,78.83
2025-08-22 16:59,"Ketchum, United States","Mountain Home, United States",Car,70.02
2025-08-22 17:48,"Mountain Home, United States","Elmore County, United States",Car,21.16
2025-08-22 18:10,"Elmore County, United States","Fairfield, United States",Car,19.7
2025-08-22 18:32,"Fairfield, United States","Blaine County, United States",Car,19.03
2025-08-22 18:59,"Blaine County, United States","Hailey, United States",Car,13.9
2025-08-24 16:37,"Ketchum, United States","Hailey, United States",Car,11.71
2025-08-24 18:58,"Hailey, United States","Ketchum, United States",Car,11.58
2025-08-25 18:19,"Ketchum, United States","Stanley, United States",Car,34.58
2025-08-25 18:24,"Stanley, United States","Ketchum, United States",Car,31.64
2025-08-25 18:58,"Ketchum, United States","Blaine County, United States",Car,18.4
2025-08-25 19:38,"Blaine County, United States","Stanley, United States",Car,12.28
2025-08-26 16:11,"Stanley, United States","Blaine County, United States",Car,18.2
2025-08-26 16:42,"Blaine County, United States","Ketchum, United States",Car,19.14
