Location,Fractional Days
"Donja Lastva, Montenegro",0.0
"Serra di Ulivo, Italy",0.0
"Brivadi, Italy",0.0
"Jošice, Montenegro",0.0
"Villapiana Lido, Italy",0.0
"Bolognetta, Italy",0.0
"Castiglione In Teverina, Italy",0.0
"Meljine, Montenegro",0.0
"Des Moines, United States",0.0
"Kaonoulu, United States",0.0
"Haiku-Pauwela, United States",0.0
"Oriolo, Italy",0.0
"Città della Pieve, Italy",0.0
"San Casciano in Val di Pesa, Italy",0.0
"Petignano, Italy",0.0
"Castelnuovo Di Porto, Italy",0.0
"Riano, Italy",0.0
"Sgurgola, Italy",0.0
"Ferentino, Italy",0.0
"Castro Dei Volsci, Italy",0.0
"Cassino, Italy",0.0
"Mignano Monte Lungo, Italy",0.0
"Marzano Appio, Italy",0.0
"Calvi Risorta, Italy",0.0
"Kastel Stafilic, Croatia",0.0
"Sabbioncello, Croatia",0.0
"Portonovi, Montenegro",0.0
"Bijela, Montenegro",0.0
"Surbo, Italy",0.0
"Ginosa, Italy",0.0
"Bernalda, Italy",0.0
"Amendolara, Italy",0.0
"Quattromiglia, Italy",0.0
"Altilia, Italy",0.0
"Palmi, Italy",0.0
"Castellana Sicula, Italy",0.0
"Lascari, Italy",0.0
"Portella di Mare, Italy",0.0
"Casteltermini, Italy",0.0
"Province of Caltanissetta, Italy",0.0
"Santa Caterina Villarmosa, Italy",0.0
"Petralia Sottana, Italy",0.0
"Fiumefreddo di Sicilia, Italy",0.0
"Giarre, Italy",0.0
"Riley, United States",0.0
"Drewsey, United States",0.0
"Tarsia, Italy",0.0
"Auburn, United States",0.0
"Dupont, United States",0.0
"Bainbridge Island, United States",0.0
"Ulupalakua, United States",0.0
"Oriolo Romano, Italy",0.0
"Soriano nel Cimino, Italy",0.0
"Scadicci, Italy",0.0
"Torrita di Siena, Italy",0.0
"Sant'Albino, Italy",0.0
"Otricoli, Italy",0.0
"Segni, Italy",0.0
"Arce, Italy",0.0
"Donja Banda, Croatia",0.0
"Mlini, Croatia",0.0
"Čilipi, Croatia",0.0
"Marina di Roseto Capo Spulico, Italy",0.0
"Cassano All'Ionio, Italy",0.0
"Torano Castello, Italy",0.0
"Belsito, Italy",0.0
"Castiglione Marittimo, Italy",0.0
"Zambrone, Italy",0.0
"Scilla, Italy",0.0
"Racalmuto, Italy",0.0
"Villarosa, Italy",0.0
"Resuttano, Italy",0.0
"Altofonte, Italy",0.0
"Glenns Ferry, United States",0.0
"Novoli, Italy",0.0
"Camas, United States",0.0
"Elmore, United States",0.0
"Lower Paia, United States",0.0
"McChord AFB, United States",0.0
"Lewis County, United States",0.0
"Haliimaile, United States",0.0
"Jefferson County, United States",0.0
"Island County, United States",0.0
"La Cura, Italy",0.0
"Vitorchiano, Italy",0.0
"Asciano, Italy",0.0
"San Casciano In Val Di Pesa, Italy",0.0
"Torrita, Italy",0.0
"Collevecchio, Italy",0.0
"La Massimina - Casal Lumbroso, Italy",0.0
"Gavignano, Italy",0.0
"Pofi, Italy",0.0
"Colfelice, Italy",0.0
"San Vittore Del Lazio, Italy",0.0
"Capua, Italy",0.0
"San Tammaro, Italy",0.0
"Marcianise, Italy",0.0
"Teverola, Italy",0.0
"Čibača, Croatia",0.0
"Konavle, Croatia",0.0
"Gruda, Croatia",0.0
"Pločice, Croatia",0.0
"Zelenika, Montenegro",0.0
"Đenovići, Montenegro",0.0
"Baošići, Montenegro",0.0
"Mrčevac, Montenegro",0.0
"Marina di Amendolara, Italy",0.0
"Sibari, Italy",0.0
"Castrovillari, Italy",0.0
"Altomonte, Italy",0.0
"Luzzi, Italy",0.0
"Montalto Uffugo, Italy",0.0
"Laurignano, Italy",0.0
"Dipignano, Italy",0.0
"Martirano, Italy",0.0
"San Mango D'Aquino, Italy",0.0
"Falerna Scalo, Italy",0.0
"San Pietro A Maida, Italy",0.0
"Vibo Marina, Italy",0.0
"Guidomandri Marina, Italy",0.0
"Alì Terme, Italy",0.0
"San Giovanni Gemini, Italy",0.0
"Acquaviva Platani, Italy",0.0
"Serradifalco, Italy",0.0
"Roccamena, Italy",0.0
"Giardini-Naxos, Italy",0.0
"Riposto, Italy",0.0
"Payette County, United States",0.0
"Canyon County, United States",0.0
"Wapato, United States",0.0
"Bisignano, Italy",0.0
"Outlook, United States",0.0
"Covington, United States",0.0
"San José Viejo, Mexico",0.0
"Centro Tre Denari, Italy",0.0
"Ladispoli, Italy",0.0
"Acquaviva, Italy",0.0
"Montepulciano Stazione, Italy",0.0
"Casetta, Italy",0.0
"Taverne, Italy",0.0
"Belverde, Italy",0.0
"Tavarnelle Val di Pesa, Italy",0.0
"Tavarnuzze, Italy",0.0
"Sambuca, Italy",0.0
"Caldare, Italy",0.0
"Sant'Oreste, Italy",0.0
"Gyyavyr, Italy",0.0
"Filacciano, Italy",0.0
"Frangelini, Italy",0.0
"Morolo, Italy",0.0
"Castrocielo, Italy",0.0
"Aquino, Italy",0.0
"Piedimonte San Germano, Italy",0.0
"Villa Santa Lucia, Italy",0.0
"Acerra, Italy",0.0
"Afragola, Italy",0.0
"Kupari, Croatia",0.0
"Vitaljina, Croatia",0.0
"Nova Siri Scalo, Italy",0.0
"Siris, Italy",0.0
"Montegiordano Marina, Italy",0.0
"Spezzano Albanese, Italy",0.0
"Saracena, Italy",0.0
"San Lorenzo del Vallo, Italy",0.0
"Roggiano Gravina, Italy",0.0
"San Marco Argentano, Italy",0.0
"Lattarico, Italy",0.0
"Settimo, Italy",0.0
"Paterno Calabro, Italy",0.0
"Mangone, Italy",0.0
"Piano Lago, Italy",0.0
"Marzi, Italy",0.0
"Martirano Lombardo, Italy",0.0
"San Mango d'Aquino, Italy",0.0
"Acconia, Italy",0.0
"Rizziconi, Italy",0.0
"Villa Cordopatri, Italy",0.0
"Seminara, Italy",0.0
"Ceramida - Pellegrina, Italy",0.0
"Giampilieri, Italy",0.0
"Scaletta Superiore, Italy",0.0
"Itala, Italy",0.0
"Nizza di Sicilia, Italy",0.0
"Roccalumera, Italy",0.0
"Ciminna, Italy",0.0
"Sutera, Italy",0.0
"Castrofilippo, Italy",0.0
"Enna, Italy",0.0
"Alimena, Italy",0.0
"Villabate, Italy",0.0
"Falerna, Italy",0.0
"Shoshone, United States",0.0
"Brothers, United States",0.0
"Moxee City, United States",0.0
"Naches, United States",0.0
"Custer County, United States",0.0
