Date,From,To,Mode,Distance (mi)
2024-02-09 21:56,"Wasco, United States","Goldendale, United States",Car,19.32
2024-02-09 22:28,"Klickitat County, United States","Yakima County, United States",Car,18.54
2024-02-09 22:49,"Yakima County, United States","Wapato, United States",Car,14.38
2024-02-09 23:00,"Wapato, United States","Yakima, United States",Car,10.58
2024-02-10 20:58,"Yakima, United States","Kittitas County, United States",Car,14.57
2024-02-10 21:16,"Kittitas County, United States","Ellensburg, United States",Car,21.38
2024-02-10 21:33,"Ellensburg, United States","Cle Elum, United States",Car,21.27
2024-02-10 21:59,"Cle Elum, United States","King County, United States",Car,26.12
2024-02-10 22:09,"King County, United States","North Bend, United States",Car,11.14
2024-02-12 18:15,"Seatac, United States","Federal Way, United States",Car,11.13
2024-02-12 23:58,"Federal Way, United States","Maui County, United States",Flight,2630.45
2024-03-01 09:04,"Paia, United States","Tacoma, United States",Flight,2623.9
2024-03-01 09:16,"Tacoma, United States","Seattle, United States",Car,18.64
2024-03-03 21:18,"Auburn, United States","Redmond, United States",Flight,220.66
2024-03-06 03:32,"Redmond, United States","Puyallup, United States",Flight,210.68
2024-03-06 03:40,"Puyallup, United States","Burien, United States",Car,17.84
2024-03-07 19:25,"SeaTac, United States","Gig Harbor, United States",Car,16.94
2024-03-07 19:30,"Gig Harbor, United States","Grapeview, United States",Car,14.84
2024-03-08 00:50,"Grapeview, United States","Maui County, United States",Flight,2609.02
2024-03-24 20:21,"Maui County, United States","Honolulu, United States",Car,99.79
2024-03-25 07:54,"Honolulu, United States","Narita-shi, Japan",Flight,3812.68
2024-03-25 09:14,"Narita-shi, Japan","Chiba, Japan",Car,15.38
2024-03-25 10:49,"Tokyo, Japan","Fuchu, Japan",Car,12.34
2024-03-25 11:02,"Fuchu, Japan","Hachioji-shi, Japan",Car,11.91
2024-03-25 11:20,"Hachioji-shi, Japan","Uenohara, Japan",Car,13.09
2024-03-25 12:05,"Tsuru, Japan","Fujikawaguchiko, Japan",Car,10.65
2024-03-29 02:27,"Fujikawaguchiko, Japan","Otsuki, Japan",Car,14.02
2024-03-29 02:45,"Otsuki, Japan","Hachioji, Japan",Car,15.05
2024-03-29 03:05,"Hachioji, Japan","Fuchu, Japan",Car,15.38
2024-03-30 11:31,"Narita-shi, Japan","Yokoshibahikari, Japan",Car,20.95
2024-03-30 11:50,"Yokoshibahikari, Japan","None, None",Flight,265.39
2024-03-30 17:49,"None, None","Waipahu, United States",Flight,3543.02
2024-03-30 20:33,"Honolulu, United States","Maui County, United States",Flight,101.45
2024-04-14 20:58,"Kahului, United States","Makawao, United States",Car,10.11
2024-04-15 06:16,"Maui County, United States","Kihei, United States",Car,12.44
2024-04-23 02:16,"Maui County, United States","None, None",Flight,187.94
2024-04-23 07:06,"None, None","Thurston County, United States",Flight,2434.34
2024-04-23 07:18,"Thurston County, United States","SeaTac, United States",Car,46.9
