Location,Fractional Days
"Fasano, Italy",0.0
"Cirella, Italy",0.0
"Allerona, Italy",0.0
"Lascari, Italy",0.0
"Siena, Italy",0.0
"Scillato, Italy",0.0
"None, Italy",0.0
"Bolognetta, Italy",0.0
"King County, United States",0.0
"Renton, United States",0.0
"Haiku, United States",0.0
"Piana del Sole, Italy",0.0
"Seatac, United States",0.0
"Olowalu, United States",0.0
"Waiakoa, United States",0.0
"Hansville, United States",0.0
"Villa San Giovanni, Italy",0.0
"Fort Lewis, United States",0.0
"Hampton, United States",0.0
"Colle Di Val D'Elsa, Italy",0.0
"Mrčevac, Montenegro",0.0
"Nicotera, Italy",0.0
"Sperone, Italy",0.0
"Ferentino, Italy",0.0
"Nampa, United States",0.0
"None, Mexico",0.0
"Francavilla Angitola, Italy",0.0
"Altilia, Italy",0.0
"Nocera Scalo, Italy",0.0
"San Lorenzo Del Vallo, Italy",0.0
"Graffignano, Italy",0.0
"Chiusi, Italy",0.0
"Colfelice, Italy",0.0
"Santa Teresa di Riva, Italy",0.0
"Kaupakalua, United States",0.0
"King, United States",0.0
"Union, United States",0.0
"Yakima County, United States",0.0
"Villapiana Lido, Italy",0.0
"Wapato, United States",0.0
"Orvieto, Italy",0.0
"Capranica, Italy",0.0
"Misilmeri, Italy",0.0
"Viterbo, Italy",0.0
"Bracciano, Italy",0.0
"Buchanan, United States",0.0
"Pulehu, United States",0.0
"Gizzeria, Italy",0.0
"Los Cabos Municipality, Mexico",0.0
"Città Della Pieve, Italy",0.0
"Scandicci, Italy",0.0
"Tacoma, United States",0.0
"Gem County, United States",0.0
"Burien, United States",0.0
"Caivano, Italy",0.0
"Hood River County, United States",0.0
"Kitsap, United States",0.0
"Vicari, Italy",0.0
"Rapolano Terme, Italy",0.0
"Massafra, Italy",0.0
"Saracena, Italy",0.0
"Palmi, Italy",0.0
"Termini Imerese, Italy",0.0
"Cervaro, Italy",0.0
"Caldwell, United States",0.0
"Cetona, Italy",0.0
"Cisternino, Italy",0.0
"Lake County, United States",0.0
"Bomarzo, Italy",0.0
"Lamezia Terme, Italy",0.0
"Rende, Italy",0.0
"Canicattì, Italy",0.0
"Fife, United States",0.0
"Castiglione Marittimo, Italy",0.0
"Cammarata, Italy",0.0
"Kuna, United States",0.0
"Ginosa, Italy",0.0
"Općina Orebić, Croatia",0.0
"Grad Solin, Croatia",0.0
"Torchiarolo, Italy",0.0
"Capena, Italy",0.0
"Provodina, Montenegro",0.0
"Roseto Capo Spulico, Italy",0.0
"Patti, Italy",0.0
"Millican, United States",0.0
"Casteltermini, Italy",0.0
"Capua, Italy",0.0
"Favara, Italy",0.0
"Caltanissetta, Italy",0.0
"Manziana, Italy",0.0
"Nazzano, Italy",0.0
"Fiano Romano, Italy",0.0
"Scanzano Jonico, Italy",0.0
"Letojanni, Italy",0.0
"Trabia, Italy",0.0
"Giove, Italy",0.0
"Ponticelli, Italy",0.0
"Magliano Sabina, Italy",0.0
"Cefalà Diana, Italy",0.0
"Longobardi, Italy",0.0
"Tumalo, United States",0.0
"Gricignano di Aversa, Italy",0.0
"Camas County, United States",0.0
"Foglia, Italy",0.0
"Ciconia, Italy",0.0
"Petralia Sottana, Italy",0.0
"Vibo Valentia, Italy",0.0
"Cairo, United States",0.0
"Yakima, United States",0.0
"Santa Domenica, Italy",0.0
"Juntura, United States",0.0
"Des Moines, United States",0.0
"Parghelia, Italy",0.0
"Castelnuovo Berardenga, Italy",0.0
"Keokea, United States",0.0
"Soriano nel Cimino, Italy",0.0
"Briatico, Italy",0.0
"San Cipirello, Italy",0.0
"Graham, United States",0.0
"Federal Way, United States",0.0
"Serra di Ulivo, Italy",0.0
"Caltavuturo, Italy",0.0
"Altofonte, Italy",0.0
"New Plymouth, United States",0.0
"Attigliano, Italy",0.0
"Covington, United States",0.0
"Pierce County, United States",0.0
"Campi Salentina, Italy",0.0
"San Casciano In Val Di Pesa, Italy",0.0
"Torrita, Italy",0.0
"Sinalunga, Italy",0.0
"Narni, Italy",0.0
"Slatine, Croatia",0.0
"San Pietro Vernotico, Italy",0.0
"Colonia del Sol, Mexico",0.0
"Impruneta, Italy",0.0
"Kent, United States",0.0
"Waikapu, United States",0.0
"Ceramida - Pellegrina, Italy",0.0
"Alì Terme, Italy",0.0
"Aragona, Italy",0.0
"San Nicolò, Italy",0.0
"Fiumefreddo di Sicilia, Italy",0.0
"Baschi, Italy",0.0
"Trepuzzi, Italy",0.0
"San Mango d'Aquino, Italy",0.0
"Cerda, Italy",0.0
"Auburn, United States",0.0
"La Massimina - Casal Lumbroso, Italy",0.0
"Villapiana, Italy",0.0
"Martirano, Italy",0.0
"Meridian, United States",0.0
"Torano Castello, Italy",0.0
"Bainbridge Island, United States",0.0
"Grad Kaštela, Croatia",0.0
"Burns, United States",0.0
"Lewis County, United States",0.0
"Castiglione In Teverina, Italy",0.0
"Camas, United States",0.0
"Trebisacce, Italy",0.0
"San Tammaro, Italy",0.0
