Location,Fractional Days
"Briatico, Italy",0.0
"Letojanni, Italy",0.0
"Los Cabos Municipality, Mexico",0.0
"Tumalo, United States",0.0
"Rende, Italy",0.0
"Attigliano, Italy",0.0
"Cerveteri, Italy",0.0
"Covington, United States",0.0
"Pierce County, United States",0.0
"Campi Salentina, Italy",0.0
"Trabia, Italy",0.0
"Villafrati, Italy",0.0
"Villapiana, Italy",0.0
"Lascari, Italy",0.0
"Sant'Albino, Italy",0.0
"Tavarnuzze, Italy",0.0
"Fabro, Italy",0.0
"Baošići, Montenegro",0.0
"Surbo, Italy",0.0
"New Plymouth, United States",0.0
"Slatine, Croatia",0.0
"Aragona, Italy",0.0
"Cairo, United States",0.0
"Scaletta Superiore, Italy",0.0
"Gizzeria Lido, Italy",0.0
"Tivat, Montenegro",0.0
"Ciconia, Italy",0.0
"Nocera Terinese, Italy",0.0
"Cerda, Italy",0.0
"San Nicolò, Italy",0.0
"San Pietro Vernotico, Italy",0.0
"Mrčevac, Montenegro",0.0
"Hansville, United States",0.0
"Des Moines, United States",0.0
"Cefalà Diana, Italy",0.0
"Kalaoa, United States",0.0
"Alì Terme, Italy",0.0
"Fiumefreddo di Sicilia, Italy",0.0
"Giarre, Italy",0.0
"Torano Castello, Italy",0.0
"Fruitland, United States",0.0
"Olowalu, United States",0.0
"San Casciano In Val Di Pesa, Italy",0.0
"Martirano, Italy",0.0
"Petignano, Italy",0.0
"Bainbridge Island, United States",0.0
"Keokea, United States",0.0
"Giardini-Naxos, Italy",0.0
"Castiglione In Teverina, Italy",0.0
"Parghelia, Italy",0.0
"Baschi, Italy",0.0
"San Tammaro, Italy",0.0
"Trebisacce, Italy",0.0
